LAMMPS data file via write_data, version 6 Jun 2016, timestep = 0

3240 atoms
5 atom types

6.1322247590272561e-01 2.9805601524097277e+01 xlo xhi
-4.8931490264279197e-02 2.8652667990264284e+01 ylo yhi
-3.2358923734499639e-01 2.7570661237344982e+01 zlo zhi
1.3300809905454425e+01 1.3297297013932686e+01 6.7722342695125075e+00 xy xz yz

Masses

1 10.811
2 12.0107
3 10.811
4 12.0107
5 10.811

Atoms # charge

1 3 7.7795950727970142e-01 1.5886584455269002e+00 5.4253810878581732e-01 2.2888866551677051e-01 0 0 0
27 2 -9.5214357277500783e-01 2.7023007872418194e+00 1.2335101018351586e+00 7.7209541325674369e-01 0 0 0
53 5 1.9134322617908736e-01 4.7439346565094782e+00 3.5274755748537761e+00 2.5760519797179215e+00 0 0 0
79 1 5.0290453732926566e-01 7.2345074596428285e+00 2.4022360458599876e+00 1.6911930386865959e+00 0 0 0
105 1 -1.5674139276252994e-01 5.6618417598291897e+00 2.0025950084114297e+00 2.4940964877883034e+00 0 0 0
131 1 -1.5674755531953533e-01 5.6618962630143006e+00 3.0881339773031651e+00 1.1134570503590804e+00 0 0 0
157 4 -9.2669083523303941e-01 7.9031240874369262e+00 3.6698558041071427e+00 2.6880365301726354e+00 0 0 0
183 3 7.7795901971487880e-01 6.4540635867223113e+00 5.4254043133115937e-01 2.2888809060666018e-01 0 0 0
209 2 -9.5214418209313600e-01 7.5677041048713525e+00 1.2335136430587710e+00 7.7209609378237554e-01 0 0 0
235 5 1.9134158553285055e-01 9.6093353446612344e+00 3.5274711199006186e+00 2.5760485885346793e+00 0 0 0
261 2 -9.5214408482070756e-01 9.7845152511149625e+00 6.0171047094434149e+00 7.7210452813502317e-01 0 0 0
287 1 1.5552778192510691e-01 5.6728556238043062e+00 4.7669465963768447e+00 1.7147480294526500e+00 0 0 0
313 3 7.7795792936491781e-01 3.8054777754094786e+00 5.3261404538004040e+00 2.2889605184846001e-01 0 0 0
339 2 -9.5214411066692506e-01 4.9191171449536339e+00 6.0171107650479598e+00 7.7210420170840677e-01 0 0 0
365 1 4.2452264701356796e-01 7.1271215985390821e+00 4.0597069468645977e+00 1.2006078134302187e+00 0 0 0
391 1 1.3948023885508656e-01 7.0713934272100110e+00 5.1978135006066015e+00 2.6763751863573826e+00 0 0 0
417 1 5.0290627936769317e-01 9.4513091070110491e+00 7.1858273090245728e+00 1.6911972439666136e+00 0 0 0
443 1 -1.5674284770206892e-01 7.8786392686002165e+00 6.7861942315785733e+00 2.4941030455038407e+00 0 0 0
469 3 7.7795797795920696e-01 8.6708738639868042e+00 5.3261359346612602e+00 2.2889416206620106e-01 0 0 0
495 1 1.5552898513207880e-01 1.0538259517502141e+01 4.7669412815476502e+00 1.7147435267312889e+00 0 0 0
521 1 1.5563192633976899e-01 5.6726091007405390e+00 2.9829406070738602e+00 3.9838689099050892e+00 0 0 0
547 3 7.7795963142391722e-01 3.8048757279561531e+00 1.6712411527125750e+00 4.8779337219679464e+00 0 0 0
573 2 -9.5214416036605143e-01 4.9185191561433648e+00 2.3622074859742823e+00 5.4211410430338551e+00 0 0 0
599 1 4.2442474548966008e-01 7.1268790993260600e+00 2.3165456421811665e+00 3.4178258019081036e+00 0 0 0
625 1 5.0290377221965255e-01 9.4507262557598697e+00 3.5309302387673167e+00 6.3402404986319958e+00 0 0 0
