LAMMPS datafile 
17226 atoms 
5 atom types
-0.019582000 196.849000000 xlo xhi 
0.000000000 31.840600000 ylo yhi 
0.000000000 30.433700000 zlo zhi 

Atoms

118  4 3.002832861 15.612569726 7.993214762 
119  4 4.003738209 13.809565531 6.562327814 
120  4 1.601559534 17.211530037 6.938932858 
121  4 2.602464881 18.977833591 5.425503539 
122  4 3.002832861 19.016481216 7.890813158 
123  4 4.003738209 17.313844027 6.555912503 
124  4 1.601559534 20.604538419 6.941736515 
125  4 2.602464881 22.494378085 5.477351713 
126  4 3.002832861 22.493793990 8.139793425 
127  4 4.003738209 20.855407260 6.415690741 
128  4 1.601559534 24.137534924 7.015196207 
129  4 2.602464881 25.898484273 5.522034987 
130  4 3.002832861 25.789842586 7.956348627 
131  4 4.003738209 24.064815085 6.639739883 
132  4 1.601559534 27.536384257 7.044352287 
133  4 2.602464881 29.264429582 5.567214743 
134  4 3.002832861 29.407630229 8.035454572 
135  4 4.003738209 27.619520458 6.651616483 
136  4 3.603379964 0.122500316 4.243080907 
137  4 4.604285311 1.720598113 2.795381755 
138  4 5.004653291 1.676567078 5.127916825 
139  4 6.005568373 0.131527506 3.729700262 
140  4 3.603379964 3.439989097 4.201347313 
141  4 4.604285311 5.288046494 2.804756481 
142  4 5.004653291 5.209514909 5.203469525 
143  4 6.005568373 3.496704730 3.829376089 
144  4 3.603379964 6.957886744 4.218909105 
145  4 4.604285311 8.632107707 2.850977873 
146  4 5.004653291 8.682719547 5.258384198 
147  4 6.005568373 7.005042688 3.791809040 
148  4 3.603379964 10.307428716 4.219298502 
149  4 4.604285311 12.024668283 2.770294871 
150  4 5.004653291 12.119583735 5.166768883 
151  4 6.005568373 10.323004585 3.793220603 
152  4 3.603379964 13.836336556 4.235234563 
153  4 4.604285311 15.546469632 2.791049716 
154  4 5.004653291 15.496334803 5.240481684 
155  4 6.005568373 13.867488294 3.763811415 
156  4 3.603379964 17.174439999 4.111834740 
157  4 4.604285311 19.071872901 2.818404836 
158  4 5.004653291 18.944540171 5.064902699 
159  4 6.005568373 17.127712392 3.822941308 
160  4 3.603379964 20.839928740 4.242808329 
161  4 4.604285311 22.462350204 2.708040069 
162  4 5.004653291 22.482793532 5.135646350 
163  4 6.005568373 20.731287054 3.885244785 
164  4 3.603379964 24.178616279 4.193023958 
165  4 4.604285311 25.939078882 2.796618089 
166  4 5.004653291 25.805905201 5.190677842 
167  4 6.005568373 24.097913807 3.708507345 
168  4 3.603379964 27.633344042 4.224905815 
169  4 4.604285311 29.370637540 2.768970922 
170  4 5.004653291 29.303953350 5.186355539 
171  4 6.005568373 27.619228410 3.812408127 
172  4 5.605200393 0.051105692 1.354351022 
173  4 6.606105741 1.924729613 29.592106928 
174  4 7.006473721 1.892292865 2.336886578 
175  4 8.007388803 0.084558083 1.015556399 
176  4 5.605200393 3.622275440 1.399628126 
177  4 6.606105741 5.183230630 0.080752996 
178  4 7.006473721 5.255668156 2.429095723 
179  4 8.007388803 3.543091615 0.978836288 
180  4 5.605200393 7.091002015 1.287413724 
181  4 6.606105741 8.719352044 29.535352355 
182  4 7.006473721 8.928779339 2.220972908 
183  4 8.007388803 7.051789765 1.032524362 
184  4 5.605200393 10.457151758 1.364407192 
185  4 6.606105741 12.172444341 0.043982166 
186  4 7.006473721 11.991861608 2.452878129 
187  4 8.007388803 10.397574058 0.905974319 
188  4 5.605200393 13.845195331 1.366996680 
189  4 6.606105741 15.594852175 29.609337734 
190  4 7.006473721 15.500423469 2.314632556 
191  4 8.007388803 13.789316901 1.009627834 
192  4 5.605200393 17.230707826 1.397992660 
193  4 6.606105741 18.931690079 0.008852711 
194  4 7.006473721 19.036729846 2.469310670 
195  4 8.007388803 17.310631504 1.072836658 
196  4 5.605200393 20.708994091 1.359559203 
197  4 6.606105741 22.388072778 29.551317621 
198  4 7.006473721 22.432366656 2.329059704 
199  4 8.007388803 20.766040711 0.971912814 
200  4 5.605200393 24.234786757 1.373275703 
201  4 6.606105741 25.959619559 29.626665888 
202  4 7.006473721 25.843384636 2.455973833 
203  4 8.007388803 24.245397817 0.928977931 
204  4 5.605200393 27.557509029 1.381589323 
205  4 6.606105741 29.363433700 0.078034812 
206  4 7.006473721 29.209816691 2.445226483 
207  4 8.007388803 27.556438188 1.041976967 
208  4 0.800826495 0.047206273 16.836735687 
209  4 0.800826495 3.607332340 17.022575275 
210  4 0.800826495 6.782882120 17.061417599 
211  4 0.800826495 10.319986761 17.007583501 
212  4 0.800826495 13.763227320 16.927562474 
213  4 0.800826495 17.278895671 17.003008090 
214  4 0.800826495 20.502127080 16.832549672 
215  4 0.800826495 24.243158786 16.929898854 
216  4 0.800826495 27.573474295 17.032796939 
217  4 0.400462409 0.070280950 14.667309171 
218  4 1.401370676 1.959327512 13.261489637 
219  4 1.801738656 1.861472114 15.694245690 
220  4 2.802644004 0.232022040 14.236149645 
221  4 0.400462409 3.555902768 14.582907431 
222  4 1.401370676 5.201181819 13.064162846 
223  4 1.801738656 5.190551288 15.515220545 
224  4 2.802644004 3.595222102 14.148730080 
225  4 0.400462409 6.736378416 14.378863546 
226  4 1.401370676 8.663064747 13.229461756 
227  4 1.801738656 8.624193219 15.600109031 
228  4 2.802644004 6.758106753 14.338366286 
229  4 0.400462409 10.419574973 14.453822416 
230  4 1.401370676 12.234163722 13.236860294 
231  4 1.801738656 12.063997352 15.673802362 
232  4 2.802644004 10.431840970 14.168784011 
233  4 0.400462409 13.883064163 14.694566942 
234  4 1.401370676 15.575284990 13.196070987 
235  4 1.801738656 15.577134624 15.502954548 
236  4 2.802644004 13.932322849 14.144154668 
237  4 0.400462409 17.338473370 14.605395092 
238  4 1.401370676 18.975205163 13.151095665 
239  4 1.801738656 18.883502234 15.611109489 
240  4 2.802644004 17.234991190 14.171120392 
241  4 0.400462409 20.743455701 14.537932109 
242  4 1.401370676 22.448429271 13.161512027 
243  4 1.801738656 22.500219036 15.586090749 
244  4 2.802644004 20.713472153 14.153597539 
245  4 0.400462409 24.209378620 14.601403775 
246  4 1.401370676 25.929051916 13.319023004 
247  4 1.801738656 25.976558317 15.512397418 
248  4 2.802644004 24.115436660 14.190298181 
249  4 0.400462409 27.721639750 14.575314194 
250  4 1.401370676 29.404125658 13.157326013 
251  4 1.801738656 29.481128861 15.620941756 
252  4 2.802644004 27.715604100 14.158562347 
253  4 2.402285759 0.108890901 11.919141770 
254  4 3.403191106 1.793025905 10.444885761 
255  4 3.803559086 1.959931077 12.908014758 
256  4 4.804474168 0.116370238 11.575109761 
257  4 2.402285759 3.548552904 11.656785725 
258  4 3.403191106 5.275050378 10.389299378 
259  4 3.803559086 5.242078210 12.750601131 
260  4 4.804474168 3.595738053 11.374473098 
261  4 2.402285759 6.969305803 11.938222209 
262  4 3.403191106 8.699502546 10.355032466 
263  4 3.803559086 8.701254831 12.833347936 
264  4 4.804474168 6.973423673 11.489442481 
265  4 2.402285759 10.431840970 11.798331435 
266  4 3.403191106 12.072564080 10.328553489 
267  4 3.803559086 12.124256496 12.850481392 
268  4 4.804474168 10.430088685 11.379340557 
269  4 2.402285759 13.852107123 11.793561325 
270  4 3.403191106 15.521158845 10.332836853 
271  4 3.803559086 15.621525851 12.837241903 
272  4 4.804474168 13.808397340 11.449724015 
273  4 2.402285759 17.294860937 11.736222657 
274  4 3.403191106 19.020569882 10.328650838 
275  4 3.803559086 18.960116040 12.789832851 
276  4 4.804474168 17.176094935 11.288221722 
277  4 2.402285759 20.663239975 11.661847882 
278  4 3.403191106 22.533317757 10.392706599 
279  4 3.803559086 22.442393622 12.753229559 
280  4 4.804474168 20.720189247 11.317718525 
281  4 2.402285759 24.190200831 11.801057212 
282  4 3.403191106 25.965265812 10.377325429 
283  4 3.803559086 25.873952279 12.761114843 
284  4 4.804474168 24.180173866 11.430351528 
285  4 2.402285759 27.617476125 11.811084178 
286  4 3.403191106 29.392638455 10.458514646 
287  4 3.803559086 29.281660388 12.818842908 
288  4 4.804474168 27.602387002 11.351109294 
289  4 4.404106188 0.049473925 8.949972255 
290  4 5.405021271 1.843793503 7.425649562 
291  4 5.805379516 1.849848622 9.984132083 
292  4 6.806294598 0.104173359 8.706628506 
293  4 4.404106188 3.374366013 8.931845838 
294  4 5.405021271 5.242302113 7.647664106 
295  4 5.805379516 5.217594891 9.956290217 
296  4 6.806294598 3.423264507 8.403200841 
297  4 4.404106188 7.053843832 9.010971253 
298  4 5.405021271 8.575596507 7.660192946 
299  4 5.805379516 8.681161960 10.077587298 
300  4 6.806294598 6.921760463 8.757668682 
301  4 4.404106188 10.517702949 8.859661420 
302  4 5.405021271 12.203109333 7.567886452 
303  4 5.805379516 12.214499187 10.103092784 
304  4 6.806294598 10.494144447 8.626042853 
305  4 4.404106188 13.902631348 8.971632448 
306  4 5.405021271 15.470342572 7.578740886 
307  4 5.805379516 15.464014875 9.965733088 
308  4 6.806294598 13.788440758 8.546975848 
309  4 4.404106188 17.230318429 8.844377598 
310  4 5.405021271 18.935584046 7.550490153 
311  4 5.805379516 18.956806168 9.966998627 
312  4 6.806294598 17.287754446 8.406111582 
313  4 4.404106188 20.697506887 8.985358683 
314  4 5.405021271 22.432950751 7.596750484 
315  4 5.805379516 22.396055411 9.939740856 
316  4 6.806294598 20.715711184 8.525422739 
317  4 4.404106188 24.216290412 9.018068008 
318  4 5.405021271 25.875509866 7.655724619 
319  4 5.805379516 25.889138752 10.075737663 
320  4 6.806294598 24.142597081 8.694401449 
321  4 4.404106188 27.740428142 9.040604344 
322  4 5.405021271 29.486580415 7.683070004 
323  4 5.805379516 29.360999971 10.006814443 
324  4 6.806294598 27.670434080 8.716168726 
325  4 6.405926618 0.084130915 6.158533143 
326  4 7.406841700 1.821627094 4.749530290 
327  4 7.807199945 1.828558356 7.105721211 
328  4 8.808115028 30.971544834 5.686759538 
329  4 6.405926618 3.537163050 6.084557499 
330  4 7.406841700 5.307905727 4.735950079 
331  4 7.807199945 5.235701839 7.127449549 
332  4 8.808115028 3.504765242 5.736086368 
333  4 6.405926618 6.986380849 6.217098410 
334  4 7.406841700 8.675671466 4.739065253 
335  4 7.807199945 8.654069683 7.238174508 
336  4 8.808115028 7.006240083 5.709149850 
337  4 6.405926618 10.351041149 6.209164452 
338  4 7.406841700 12.015614809 4.838916309 
339  4 7.807199945 12.176143610 7.214625741 
340  4 8.808115028 10.401078629 5.773935730 
341  4 6.405926618 13.781821014 6.023714261 
342  4 7.406841700 15.543159760 4.674590890 
343  4 7.807199945 15.659589381 7.050855213 
344  4 8.808115028 13.973112156 5.758320921 
345  4 6.405926618 17.291356366 6.110121394 
346  4 7.406841700 19.027481674 4.739853782 
347  4 7.807199945 19.012489900 7.072904802 
348  4 8.808115028 17.211627386 5.775824304 
349  4 6.405926618 20.664116118 6.184710338 
350  4 7.406841700 22.417569580 4.806791079 
351  4 7.807199945 22.395471316 7.218626792 
352  4 8.808115028 20.672293449 5.724852273 
353  4 6.405926618 24.241990596 6.236091236 
354  4 7.406841700 25.863925314 4.931806898 
355  4 7.807199945 25.919316998 7.307633149 
356  4 8.808115028 24.152429349 5.901356074 
357  4 6.405926618 27.705869182 6.276393797 
358  4 7.406841700 29.321476203 4.779523573 
359  4 7.807199945 29.426808018 7.229228118 
360  4 8.808115028 27.647849070 6.052276511 
361  4 8.407747048 0.038834146 3.411348968 
362  4 9.408662130 1.736320006 1.955560099 
363  1 9.850569006 1.852360231 4.489890287 
364  1 10.873222161 0.194359588 2.997254753 
365  4 8.407747048 3.660631017 3.440397963 
366  4 9.408662130 5.281095762 2.054924408 
367  1 9.842586373 5.222764133 4.461026255 
368  1 10.721844183 3.432210897 2.984112614 
369  4 8.407747048 7.130311615 3.313795353 
370  4 9.408662130 8.798019918 2.040837982 
371  1 9.855728513 8.814802917 4.392949972 
372  1 10.715321788 6.962423216 3.138790728 
373  4 8.407747048 10.465134391 3.455428677 
374  4 9.408662130 12.069838303 2.070208230 
375  1 9.764999075 12.276607965 4.421969763 
376  1 10.814423255 10.522959805 3.129435472 
377  4 8.407747048 13.853177964 3.386447047 
378  4 9.408662130 15.479882792 2.050933092 
379  1 9.877632079 15.431305550 4.471569171 
380  1 10.801475814 13.771794048 3.094934922 
381  4 8.407747048 17.244920806 3.382845127 
382  4 9.408662130 19.001976188 1.964759596 
383  1 9.705061184 18.937823078 4.379038774 
384  1 10.716587327 17.307808378 3.088354117 
385  4 8.407747048 20.793785228 3.412390604 
386  4 9.408662130 22.476076439 2.075202243 
387  1 9.844436008 22.489315927 4.403064552 
388  1 10.791448848 20.843141263 3.059947626 
389  4 8.407747048 24.250752022 3.399443163 
390  4 9.408662130 25.894687655 1.996680393 
391  1 9.845409499 25.964000273 4.640158484 
392  1 10.828052140 24.252699006 3.172454076 
393  4 8.407747048 27.494524109 3.472659482 
394  4 9.408662130 29.495244492 2.000574360 
395  1 9.740661780 29.277377024 4.466623833 
396  1 10.632574983 27.594988464 3.109167372 
397  1 10.533765564 0.087532880 0.572483280 
398  1 11.835616172 1.785549487 1.553916844 
399  1 12.911714027 0.032744858 0.252514043 
400  1 10.391051663 3.380518482 0.585717902 
401  1 11.795410960 5.099266961 1.507500754 
402  1 12.727918772 3.502146549 0.131815660 
403  1 10.305384383 6.971233317 0.758726867 
404  1 11.585428774 8.726108077 1.702023889 
405  1 12.607497834 6.963036516 0.113668799 
406  1 10.437097826 10.477303038 0.519880650 
407  1 11.804659132 12.161930629 1.680899117 
408  1 12.744078736 10.464258248 0.447006999 
409  1 10.573484030 13.837991492 0.573127732 
410  1 11.826270650 15.557859486 1.630949252 
411  1 12.798594278 14.011857130 0.291207422 
412  1 10.368564002 17.243947315 0.679223738 
413  1 11.749267447 19.034004069 1.511764649 
414  1 12.679925625 17.276753989 0.358984843 
415  1 10.413441975 20.911772437 0.682926900 
416  1 11.752479970 22.582868491 1.697195370 
417  1 12.838507442 20.838273804 0.239736963 
418  1 10.432035669 24.191758418 0.541722886 
419  1 11.852165533 25.988629616 1.568412137 
420  1 12.766079651 24.157880903 0.149489404 
421  1 10.413344626 27.675301539 0.699567770 
422  1 11.955258316 29.336760025 1.651012918 
423  1 12.894288524 27.700417628 0.225821870 
424  4 0.200280366 1.839636693 20.722817675 
425  4 0.600644452 1.970717366 23.118094292 
426  4 1.601559534 0.153931447 21.859466721 
427  4 0.200280366 5.112613533 20.863973988 
428  4 0.600644452 5.272353806 23.189743290 
429  4 1.601559534 3.601286956 21.624563146 
430  4 0.200280366 8.581943674 20.943508270 
431  4 0.600644452 8.514295727 23.164335154 
432  4 1.601559534 6.932809595 21.829580522 
433  4 0.200280366 11.928389942 20.785413199 
434  4 0.600644452 12.118707592 23.006824178 
435  4 1.601559534 10.239576336 21.810694781 
436  4 0.200280366 15.563992485 20.909728104 
437  4 0.600644452 15.587258939 23.190619433 
438  4 1.601559534 13.897082445 21.847103375 
439  4 0.200280366 19.019304343 20.691276540 
440  4 0.600644452 18.969656260 23.054038531 
441  4 1.601559534 17.318127391 21.832014252 
442  4 0.200280366 22.394205777 20.831654060 
443  4 0.600644452 22.331610253 23.205708556 
444  4 1.601559534 20.665673705 21.706725855 
445  4 0.200280366 25.956601735 20.693807619 
446  4 0.600644452 25.907829795 23.092102061 
447  4 1.601559534 24.132667465 21.889644968 
448  4 0.200280366 29.427002716 20.843628009 
449  4 0.600644452 29.365283335 23.255746035 
450  4 1.601559534 27.680363697 21.858882626 
451  4 1.201191554 0.098687733 19.372000428 
452  4 2.202106636 1.781081160 17.929090856 
453  4 2.602464881 1.799879287 20.256125697 
454  4 3.603379964 30.991014671 18.943079933 
455  4 1.201191554 3.474207334 19.366354176 
456  4 2.202106636 5.231019343 17.961021388 
457  4 2.602464881 5.282215278 20.453063092 
458  4 3.603379964 3.522599613 19.141088169 
459  4 1.201191554 6.891173350 19.390983519 
460  4 2.202106636 8.623278136 17.971437750 
461  4 2.602464881 8.684053231 20.365351479 
462  4 3.603379964 6.897004566 19.065545204 
463  4 1.201191554 10.323880728 19.408506372 
464  4 2.202106636 12.124645892 18.020209690 
465  4 2.602464881 12.042872580 20.536588690 
466  4 3.603379964 10.430964828 18.972868783 
467  4 1.201191554 13.652249253 19.521042026 
468  4 2.202106636 15.583851718 17.976207860 
469  4 2.602464881 15.638269910 20.326509156 
470  4 3.603379964 14.001538117 19.019596390 
471  4 1.201191554 17.165581223 19.374531507 
472  4 2.202106636 18.966638435 17.930551094 
473  4 2.602464881 18.977444195 20.322128443 
474  4 3.603379964 17.393086261 18.946779202 
475  4 1.201191554 20.805856527 19.357008654 
476  4 2.202106636 22.511608890 17.946905756 
477  4 2.602464881 22.477536676 20.455983567 
478  4 3.603379964 20.640947013 18.908034228 
479  4 1.201191554 24.184165182 19.397895311 
480  4 2.202106636 25.947742959 18.089619657 
481  4 2.602464881 25.849030889 20.505923698 
482  4 3.603379964 24.250265277 18.964204706 
483  4 1.201191554 27.679487554 19.485898971 
484  4 2.202106636 29.344450610 18.025174498 
485  4 2.602464881 29.398479406 20.511472601 
486  4 3.603379964 27.681434538 19.162797037 
487  4 3.203011984 0.015058848 16.630258073 
488  4 4.203927066 1.715380197 15.319353991 
489  4 4.604285311 1.857101136 17.669265890 
490  4 5.605200393 0.028970143 16.322829357 
491  4 3.203011984 3.547637822 16.657905240 
492  4 4.203927066 5.267096950 15.231058283 
493  4 4.604285311 5.222754398 17.684939108 
494  4 5.605200393 3.483202399 16.252835295 
495  4 3.203011984 6.877593139 16.617700028 
496  4 4.203927066 8.669041987 15.215774461 
497  4 4.604285311 8.764960136 17.528012227 
498  4 5.605200393 6.964321525 16.209709607 
499  4 3.203011984 10.426876162 16.522492528 
500  4 4.203927066 12.136717191 15.213146034 
501  4 4.604285311 12.101574136 17.474275479 
502  4 5.605200393 10.331668662 16.210001655 
503  4 3.203011984 13.841398713 16.572724706 
504  4 4.203927066 15.554354916 15.205455448 
505  4 4.604285311 15.570709578 17.640353183 
506  4 5.605200393 13.853470012 16.149839861 
507  4 3.203011984 17.319003534 16.615460997 
508  4 4.203927066 19.003631124 15.201366783 
509  4 4.604285311 19.040721163 17.556146141 
510  4 5.605200393 17.325915326 16.194717833 
511  4 3.203011984 20.766235410 16.512660261 
512  4 4.203927066 22.478120771 15.140815591 
513  4 4.604285311 22.559504687 17.573182247 
514  4 5.605200393 20.895904520 16.107492967 
515  4 3.203011984 24.281611713 16.572237960 
516  4 4.203927066 25.897900178 15.161940364 
517  4 4.604285311 25.890112244 17.768464706 
518  4 5.605200393 24.275089318 16.255561072 
519  4 3.203011984 27.562960583 16.597256700 
520  4 4.203927066 29.411621545 15.138771259 
521  4 4.604285311 29.306289731 17.563934075 
522  4 5.605200393 27.451398421 16.088899273 
523  4 5.204832413 0.089539052 13.798759771 
524  4 6.205747496 1.907489073 12.324601112 
525  4 6.606105741 1.869776000 14.850228284 
526  4 7.607020823 0.035337266 13.423478676 
527  4 5.204832413 3.500842070 13.847726410 
528  4 6.205747496 5.172054944 12.404038044 
529  4 6.606105741 5.222316326 14.870282215 
530  4 7.607020823 3.519211861 13.346572822 
531  4 5.204832413 6.891007856 13.851036282 
532  4 6.205747496 8.604781792 12.417472231 
533  4 6.606105741 8.731355198 14.803208629 
534  4 7.607020823 6.866719235 13.502331513 
535  4 5.204832413 10.326022410 13.834486921 
536  4 6.205747496 12.042385834 12.371134021 
537  4 6.606105741 12.023208045 14.792597568 
538  4 7.607020823 10.334394439 13.182831498 
539  4 5.204832413 13.808884086 13.824752003 
